"id","timestamp","os_name","cohort_date","value_D0"
279,"2023-06-30 00:00:00",android,"2023-06-30",9900
282,"2023-06-30 00:00:00",windows,"2023-06-30",28407
285,"2023-06-30 00:00:00",macos,"2023-06-30",319
288,"2023-06-30 00:00:00",ipados,"2023-06-30",480
291,"2023-06-30 00:00:00",winphone,"2023-06-30",9
294,"2023-06-30 00:00:00",unknown,"2023-06-30",1368
297,"2023-06-30 00:00:00",ios,"2023-06-30",14924
300,"2023-06-29 00:00:00",ios,"2023-06-29",14279
303,"2023-06-29 00:00:00",android,"2023-06-29",9492
306,"2023-06-29 00:00:00",unknown,"2023-06-29",1362
309,"2023-06-29 00:00:00",ipados,"2023-06-29",438
312,"2023-06-29 00:00:00",macos,"2023-06-29",322
315,"2023-06-29 00:00:00",windows,"2023-06-29",28159
318,"2023-06-29 00:00:00",winphone,"2023-06-29",6
321,"2023-06-28 00:00:00",windows,"2023-06-28",27747
324,"2023-06-28 00:00:00",winphone,"2023-06-28",4
327,"2023-06-28 00:00:00",ios,"2023-06-28",14498
330,"2023-06-28 00:00:00",android,"2023-06-28",9732
333,"2023-06-28 00:00:00",ipados,"2023-06-28",394
336,"2023-06-28 00:00:00",unknown,"2023-06-28",1391
339,"2023-06-28 00:00:00",macos,"2023-06-28",349
342,"2023-06-27 00:00:00",windows,"2023-06-27",28531
345,"2023-06-27 00:00:00",macos,"2023-06-27",303
348,"2023-06-27 00:00:00",ios,"2023-06-27",14442
351,"2023-06-27 00:00:00",unknown,"2023-06-27",1304
354,"2023-06-27 00:00:00",winphone,"2023-06-27",6
357,"2023-06-27 00:00:00",ipados,"2023-06-27",356
360,"2023-06-27 00:00:00",android,"2023-06-27",9431
363,"2023-06-26 00:00:00",ios,"2023-06-26",14932
366,"2023-06-26 00:00:00",macos,"2023-06-26",363
369,"2023-06-26 00:00:00",winphone,"2023-06-26",7
372,"2023-06-26 00:00:00",windows,"2023-06-26",28600
375,"2023-06-26 00:00:00",android,"2023-06-26",9612
378,"2023-06-26 00:00:00",ipados,"2023-06-26",415
381,"2023-06-26 00:00:00",unknown,"2023-06-26",1396
384,"2023-06-25 00:00:00",unknown,"2023-06-25",1424
387,"2023-06-25 00:00:00",windows,"2023-06-25",25855
390,"2023-06-25 00:00:00",ios,"2023-06-25",15136
393,"2023-06-25 00:00:00",macos,"2023-06-25",254
396,"2023-06-25 00:00:00",android,"2023-06-25",9968
399,"2023-06-25 00:00:00",ipados,"2023-06-25",444
402,"2023-06-25 00:00:00",winphone,"2023-06-25",9
405,"2023-06-24 00:00:00",unknown,"2023-06-24",1437
408,"2023-06-24 00:00:00",windows,"2023-06-24",27096
411,"2023-06-24 00:00:00",winphone,"2023-06-24",7
414,"2023-06-24 00:00:00",android,"2023-06-24",9211
417,"2023-06-24 00:00:00",ios,"2023-06-24",14820
420,"2023-06-24 00:00:00",macos,"2023-06-24",281
423,"2023-06-24 00:00:00",ipados,"2023-06-24",434
426,"2023-06-23 00:00:00",macos,"2023-06-23",300
429,"2023-06-23 00:00:00",ipados,"2023-06-23",383
432,"2023-06-23 00:00:00",unknown,"2023-06-23",1371
435,"2023-06-23 00:00:00",winphone,"2023-06-23",6
438,"2023-06-23 00:00:00",windows,"2023-06-23",28625
441,"2023-06-23 00:00:00",android,"2023-06-23",9248
444,"2023-06-23 00:00:00",ios,"2023-06-23",14447
447,"2023-06-22 00:00:00",winphone,"2023-06-22",4
450,"2023-06-22 00:00:00",android,"2023-06-22",9104
453,"2023-06-22 00:00:00",windows,"2023-06-22",27977
456,"2023-06-22 00:00:00",ios,"2023-06-22",14234
459,"2023-06-22 00:00:00",macos,"2023-06-22",307
462,"2023-06-22 00:00:00",ipados,"2023-06-22",400
465,"2023-06-22 00:00:00",unknown,"2023-06-22",1280
468,"2023-06-21 00:00:00",windows,"2023-06-21",28884
471,"2023-06-21 00:00:00",android,"2023-06-21",9274
474,"2023-06-21 00:00:00",unknown,"2023-06-21",1254
477,"2023-06-21 00:00:00",macos,"2023-06-21",282
480,"2023-06-21 00:00:00",ipados,"2023-06-21",370
483,"2023-06-21 00:00:00",winphone,"2023-06-21",7
486,"2023-06-21 00:00:00",ios,"2023-06-21",14244
489,"2023-06-20 00:00:00",winphone,"2023-06-20",4
492,"2023-06-20 00:00:00",windows,"2023-06-20",29484
495,"2023-06-20 00:00:00",ios,"2023-06-20",13827
498,"2023-06-20 00:00:00",android,"2023-06-20",9163
501,"2023-06-20 00:00:00",ipados,"2023-06-20",408
504,"2023-06-20 00:00:00",unknown,"2023-06-20",1227
507,"2023-06-20 00:00:00",macos,"2023-06-20",298
510,"2023-06-19 00:00:00",macos,"2023-06-19",296
513,"2023-06-19 00:00:00",android,"2023-06-19",9426
516,"2023-06-19 00:00:00",ipados,"2023-06-19",422
519,"2023-06-19 00:00:00",winphone,"2023-06-19",7
522,"2023-06-19 00:00:00",ios,"2023-06-19",14877
525,"2023-06-19 00:00:00",windows,"2023-06-19",29719
528,"2023-06-19 00:00:00",unknown,"2023-06-19",1406
531,"2023-06-18 00:00:00",android,"2023-06-18",10222
534,"2023-06-18 00:00:00",macos,"2023-06-18",276
537,"2023-06-18 00:00:00",ipados,"2023-06-18",427
540,"2023-06-18 00:00:00",unknown,"2023-06-18",1514
543,"2023-06-18 00:00:00",ios,"2023-06-18",15077
546,"2023-06-18 00:00:00",windows,"2023-06-18",27036
549,"2023-06-18 00:00:00",winphone,"2023-06-18",8
